EVENT_ID,BDD_ID,EVENT_TYPE,CONFLICT_TYPE,BDD_START
301,30b16a45-a13ac7a0,4,,16.14
302,0c8ade29-4191b087,1,q,15.77
303,143d9260-59a67960,1,q,14.52
304,30f47755-32a0e545,1,q,15.93
305,2addf4ad-9d72112e,1,q,16.19
306,2eac83bd-d26c75e3,4,,15.91
307,1b546ac6-fea73de0,3,,18.12
308,0549f27d-2e4ab1af,2,,16.11
309,277bcefd-4dc33b68,4,,15.48
310,084e4b32-b15dad06,2,,14.09
311,1c20ca7a-b966010e,4,,14.3
312,2a921d20-4154f535,2,,16.02
313,0c833185-f0c9c164,1,q,15.09
314,2a656a7b-d576e409,4,,16.42
315,1b813f24-692969ba,1,q,13.12
316,0a890a0f-637ac0b2,2,,15.16
317,2a6eb4e6-2e3b8941,1,q,15.45
318,3207d01f-e2bced21,4,,15.32
319,02ef72c1-6e9a4af4,2,,15.2
320,31081723-a223b6d0,2,,15.06
321,2a1e1100-b0b2eb0a,2,,25.22
322,2fac89c0-82fae456,2,,13.55
323,1213a39e-47fb94a4,4,,17.83
324,2f02d492-5059788a,1,q,16.56
325,3207d01f-d22281c1,2,,14.59
326,12011d41-cc62dd31,2,,20.84
327,07576c3b-a24a05e7,2,,14.44
328,06ff7d61-45086936,2,,18.14
329,2ff8acd5-ee32295b,3,,19.92
330,28947269-795d4f2e,1,q,16.42
331,3228edd0-e3f3f820,1,q,16.36
332,32109044-754c2375,3,,14.57
333,312f26d9-04ddee1a,4,,21.05
334,2831bfc3-7704f47e,4,,16.56
335,034ba984-01a430f3,1,q,15.09
336,09d9403c-f3d80edf,3,,18.06
337,13796ade-04e91bd7,1,q,11.43
338,29a6a14c-8b3392f1,4,,13.66
339,1ab40223-04bfa008,4,,18.34
340,28dbc980-86029e53,4,,13.23
341,2a5f2d6c-5519930b,4,,14.82
342,14b824f6-a12df927,4,,16.45
343,2714e0ee-3a53c605,2,,13.39
344,02e9a153-1d9cde62,2,,13.52
345,09bde9c2-2b5493a6,4,,19.61
346,279b882c-3cf43a58,2,,19.45
347,108d0847-0ca7a050,4,,20.3
348,2666b4ce-3277d1e9,1,q,15.37
349,1b72216a-b3020f66,2,,14.02
350,1a5d4938-a4632ca4,1,q,14.09
351,02ef72c1-950d6851,2,,15.03
352,30872f0b-15f218b1,1,q,14.06
353,1ac73a1f-9ab9c5ae,4,,18.58
354,2e200c00-236f1591,1,q,17.0
355,30b16a45-d821f5ce,4,,18.81
356,329fb41b-3a08c1ae,1,q,13.52
357,31a56485-786c7c67,1,q,12.33
358,1b72216a-f6a15455,1,q,13.46
359,0a0c3694-24fe9c8d,1,q,15.95
360,3232e0fb-2e5efffc,1,q,15.13
361,03d75135-9aa0cdd3,1,q,13.53
362,3050b249-0ffbd6ec,1,q,13.67
363,30b82914-0e870b32,4,,15.21
364,07ff4e00-7c90028c,1,q,11.62
365,0799f6ac-4e98b098,4,,11.23
366,1c5bfa6e-d1f6494c,3,,17.08
367,137bdc82-929d3da8,4,,14.96
368,325a8deb-1010a54f,4,,15.49
369,2b12d84a-05f51e3d,1,q,13.84
370,02c26e9d-e59d7856,1,q,15.99
371,2eaa3322-aec372d9,3,,15.81
372,27957d10-39a13e59,3,,15.83
373,04105929-5600b869,2,,13.39
374,0ce9abb1-857ab875,4,,14.33
375,0618c64e-e8cfed90,1,q,13.74
