EVENT_ID,BDD_ID,EVENT_TYPE,CONFLICT_TYPE,BDD_START
1,0b41c6d7-580a91af,4,,27.95
2,0bf1c902-ee543be5,4,,27.17
3,2a83318f-527886df,4,,28.41
4,100f8948-185964dd,4,,28.0
5,06c7f82e-4d749e9b,4,,34.06
6,1391b29a-473797c4,4,,32.09
7,0594b1a4-930c6473,4,,28.59
8,07454314-b8e8bc98,4,,36.94
9,300f312f-a5a82c4d,4,,27.92
10,273f19b2-f4102ebf,4,,27.06
11,28984b3d-606fda60,4,,27.38
12,2b0ca964-a24ddc07,4,,26.58
13,1111a8b5-cbea7ce2,4,,36.47
14,083174cc-11a28344,4,,33.94
15,135a9354-05d789d2,4,,34.09
16,26fafbba-1c233842,4,,24.41
17,131b0945-4813d063,4,,39.72
18,098da55e-c41120e5,4,,38.59
19,0a9d2d3e-50c65398,4,,47.38
20,135500c3-4793f271,4,,38.94
21,0cb98c04-4b4c989e,4,,42.31
22,0cbdb4c2-4206be70,4,,44.75
23,091be679-5b7b91e4,4,,40.22
24,086c8f1b-1241a1d3,4,,45.16
25,0b0fa35c-d94dd14a,4,,47.0
26,08afd010-430001a7,4,,38.12
27,05b5e6e3-affbe780,4,,46.56
28,1337f4dd-d686ded0,4,,44.97
29,046becaa-8fc35912,4,,40.03
30,04c9ba23-4f220b11,4,,47.16
31,117f55ba-63d96139,4,,33.53
32,06fb50bb-c8b0052e,4,,47.53
33,091386c4-0d3bf1c7,4,,31.66
34,14b824f6-723f748c,4,,38.75
35,30a50138-9604771e,4,,25.53
36,0a4ef631-6a2cae37,4,,32.69
37,2a58d708-329f0a73,4,,25.08
38,3260b331-3321e02d,4,,30.52
39,06ff7d61-3135eaa4,4,,25.44
40,060fcfc7-c5c91f05,4,,32.84
41,3279d0f9-bda21087,4,,24.98
42,19fd8c7d-d4e9a4bd,4,,25.14
43,080f9a47-c88dc0a5,4,,24.98
44,1a8bda28-f6c4375a,4,,25.05
45,2fc711ef-c73c2bd8,4,,23.58
46,0679098c-550ac091,4,,29.89
47,2a9def13-cc3693a5,4,,24.16
48,29947c23-bf443cda,4,,26.12
49,3149e4a4-f5beb661,4,,29.94
50,3194e936-3b316370,4,,24.02
51,0837760b-d0fc2090,4,,46.84
52,2790cbea-765841c2,4,,29.22
53,30aeb6eb-d4b71210,4,,25.66
54,1c5e9657-2e2a2863,4,,30.5
55,2f77313c-bbdbf3cf,4,,23.47
56,313b7ee4-56f9ad6d,4,,25.72
57,2838a1e7-6b4aec78,4,,25.84
58,2f49b1d9-86e7fccf,4,,22.97
59,26c05790-bc78acb8,4,,26.5
60,0fc290b5-f43ff329,4,,22.25
61,281a8cc4-89b5ca4a,4,,24.09
62,291f5d0d-524726eb,4,,21.42
63,26748861-426ce8dc,4,,21.2
64,327bef00-086e8b14,4,,22.66
65,2e1a2a13-04a8e63a,4,,22.28
66,2859107a-a16b97b7,4,,21.56
67,083958dc-b83b361c,4,,23.33
